stage_pct,run,emergency_latency_avg_ms_baseline,emergency_latency_avg_ms_sdnv,primary_udp_bw_mbps_baseline,primary_udp_bw_mbps_sdnv,helper_udp_bw_mbps_baseline,helper_udp_bw_mbps_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,udp_share_pct_baseline,udp_share_pct_sdnv,priority_enforcement_ratio_baseline,priority_enforcement_ratio_sdnv,traffic_suppression_efficiency_pct_sdnv,policy_reaction_ms_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
20,1,2.154,1.267,10.0,10.0,1.999,2.0,11.999,12.0,40.85,43.099999999999994,22.704308501579973,21.778584392014523,0.2937331701346389,0.2784222737819026,-5.5079559363524915,1329.216,1.633,2.183,2.426,12.32,86.781,19.636
20,2,1.014,253.105,10.0,10.0,2.001,1.972,12.001,11.972,42.2,20.34,22.14165790299072,37.05125030948255,0.28438388625592415,0.5885939036381514,51.80094786729859,1238.181,1.587,2.292,3.105,4.6,5.357,8.045
20,3,109.436,416.961,10.0,10.0,2.0,1.976,12.0,11.975999999999999,35.22,22.34,25.412960609911057,34.89917239771535,0.34071550255536626,0.5360787824529991,36.570130607609315,1018.0290000000001,3.674,2.482,7.183,7.373,33.092,542.883
20,4,131.12,1.277,10.0,10.0,2.0,2.0,12.0,12.0,29.869999999999997,42.0,28.660138524002864,22.22222222222222,0.40174087713424844,0.2857142857142857,-40.60930699698695,1043.037,5.141,6.728,8.91,8.624,8.995,8.773
20,5,1.145,1.499,10.0,10.0,1.999,2.0,11.999,12.0,41.6,42.4,22.386611690516613,22.058823529411764,0.2884375,0.2830188679245283,-1.9230769230769162,1428.6270000000002,3.706,2.084,4.019,6.294,158.147,89.961
40,1,196.701,0.846,10.0,10.0,13.92,13.23,23.92,23.23,17.03,32.71,58.41269841269842,41.52663568108688,1.4045801526717556,0.7101803729746254,-92.07281268349969,1109.357,3.999,8.177,4.304,8.202,21.544,12.363
40,2,108.896,450.028,10.0,10.0,14.0,13.72,24.0,23.72,23.57,18.35,50.45196552449023,56.382220109341574,1.0182435299109036,1.292643051771117,22.14679677556215,1213.313,5.575,2.949,9.344,3.19,1083.414,4.699
40,3,1.952,1.48,10.0,10.0,14.0,13.36,24.0,23.36,30.54,31.599999999999998,44.00440044004401,42.50363901018923,0.7858546168958743,0.739240506329114,-3.470857891290107,1539.55,3.514,2.706,6.114,5.497,55.577,124.876
40,4,0.862,133.834,10.0,10.0,14.0,13.69,24.0,23.689999999999998,30.64,26.200000000000003,43.92386530014642,47.484465824814585,0.783289817232376,0.9041984732824425,14.490861618798947,1586.624,1.644,5.094,6.158,5.82,7.491,38.662
40,5,101.849,1.132,10.0,10.0,14.0,13.309999999999999,24.0,23.31,25.06,32.86,48.91969017529556,41.49902082962435,0.9577015163607343,0.709373097991479,-31.125299281723866,1305.8419999999999,2.484,2.613,4.466,6.518,95.3,16.618
60,1,1.444,1.639,10.0,10.0,23.02,23.97,33.019999999999996,33.97,21.349999999999998,21.91,60.73202133529521,60.79098067287044,1.5466042154566744,1.5504335919671381,-2.622950819672142,1083.3410000000001,2.111,7.035,13.887,9.263,483.333,51.455
60,2,414.007,146.222,10.0,10.0,26.0,25.150000000000002,36.0,35.150000000000006,11.12,16.57,76.4006791171477,67.96210363495747,3.2374100719424463,2.1213035606517807,-49.01079136690649,1160.386,1.85,2.08,4.395,5.032,4.966,11.259
60,3,683.714,1.927,9.88,10.0,25.54,23.98,35.42,33.980000000000004,7.77,21.94,82.0097244732577,60.765379113018604,4.558558558558559,1.5487693710118506,-182.36808236808238,1144.729,1.988,3.775,2.212,4.752,12.572,216.783
60,4,347.326,1.582,9.94,10.0,25.32,24.11,35.26,34.11,10.59,22.029999999999998,76.90294438386042,60.75881724260776,3.329556185080264,1.5483431684067182,-108.02644003777147,1283.542,6.569,9.068,10.587,18.787,382.227,18.857
60,5,1.162,0.961,10.0,10.0,22.63,24.05,32.629999999999995,34.05,22.13,22.05,59.5872899926954,60.6951871657754,1.474469046543154,1.5442176870748296,0.3615002259376335,1323.169,11.975,2.142,13.377,3.064,20.293,6.957
80,1,1.131,1.535,10.0,10.0,22.6,34.68,32.6,44.68,22.200000000000003,11.149999999999999,59.48905109489051,80.02865842736881,1.4684684684684683,4.007174887892377,49.77477477477479,1639.035,1.502,4.702,5.068,5.118,11.005,11.031
80,2,1.167,1.76,10.0,10.0,21.89,34.09,31.89,44.09,21.45,11.08,59.786276715410565,79.91662135218417,1.4867132867132868,3.979241877256318,48.344988344988344,1593.519,6.323,1.523,16.832,6.715,16.894,336.222
80,3,1.07,1.539,10.0,10.0,22.51,34.739999999999995,32.510000000000005,44.739999999999995,22.069999999999997,11.16,59.56394283620375,80.03577817531307,1.4730403262347083,4.008960573476702,49.43362029904848,1144.843,4.659,2.948,7.247,3.487,235.671,7.125
80,4,2.931,1.433,10.0,10.0,21.12,33.74,31.12,43.74,20.59,11.04,60.18178302069232,79.84665936473165,1.5114133074307916,3.961956521739131,46.38173870811074,2043.0890000000002,5.509,5.628,9.135,11.394,74.895,18.541
80,5,467.502,1.527,9.87,10.0,34.95,35.31999999999999,44.82,45.31999999999999,2.711,11.01,94.29635395846921,80.45446476122848,16.532644780523793,4.116257947320617,-306.1232017705644,790.5060000000001,1.575,8.582,3.541,13.016,3.545,15.24
