scenario,metric,mean,unit
baseline,latency_avg_ms,92.5608,ms
baseline,latency_mdev_ms,66.1572,ms
baseline,jitter_ms,0.0242,ms
baseline,udp_bw_mbps,9.998,mbps
baseline,throughput_mbps,293.9,mbps
baseline,emapt_50_ms,614.1726,ms
baseline,emapt_90_ms,615.6844,ms
baseline,emapt_100_ms,618.2478,ms
sdnv,latency_avg_ms,101.64779999999999,ms
sdnv,latency_mdev_ms,90.3988,ms
sdnv,jitter_ms,0.064,ms
sdnv,udp_bw_mbps,10.0,mbps
sdnv,throughput_mbps,13.94,mbps
sdnv,emapt_50_ms,3.7388000000000003,ms
sdnv,emapt_90_ms,4.0348,ms
sdnv,emapt_100_ms,7.9528,ms
derived,traffic_suppression_eff,0.7443035616048093,ratio
derived,priority_ratio_baseline,0.18345956034614563,ratio
derived,priority_ratio_sdnv,0.7174133298092595,ratio
derived,policy_reaction_s,0.121792,s
